datetime,date,time,r_sen_1,s_sen_1,r_sen_2,s_sen_2
8/12/2020 14:52:11,8/12/2020,14:52:11,635,0,630,0
8/12/2020 14:53:11,8/12/2020,14:53:11,635,0,630,0
8/12/2020 14:54:11,8/12/2020,14:54:11,635,0,630,0
8/12/2020 14:55:11,8/12/2020,14:55:11,635,0,630,0
8/12/2020 14:56:11,8/12/2020,14:56:11,635,0,630,0
8/12/2020 14:57:11,8/12/2020,14:57:11,635,0,630,0
8/12/2020 14:58:11,8/12/2020,14:58:11,635,0,630,0
8/12/2020 14:59:11,8/12/2020,14:59:11,635,0,630,0
8/12/2020 15:00:11,8/12/2020,15:00:11,635,0,630,0
8/12/2020 15:01:11,8/12/2020,15:01:11,635,0,630,0
8/12/2020 15:02:11,8/12/2020,15:02:11,635,0,630,0
8/12/2020 15:03:11,8/12/2020,15:03:11,635,0,630,0
8/12/2020 15:04:11,8/12/2020,15:04:11,635,0,630,0
8/12/2020 15:05:11,8/12/2020,15:05:11,635,0,630,0
8/12/2020 15:06:11,8/12/2020,15:06:11,635,0,630,0
8/12/2020 15:07:11,8/12/2020,15:07:11,635,0,630,0
8/12/2020 15:08:11,8/12/2020,15:08:11,635,0,630,0
8/12/2020 15:09:11,8/12/2020,15:09:11,635,0,630,0
8/12/2020 15:10:11,8/12/2020,15:10:11,635,0,630,0
8/12/2020 15:11:11,8/12/2020,15:11:11,635,0,630,0
8/12/2020 15:12:11,8/12/2020,15:12:11,635,0,630,0
8/12/2020 15:13:11,8/12/2020,15:13:11,635,0,630,0
8/12/2020 15:14:11,8/12/2020,15:14:11,635,0,630,0
8/12/2020 15:15:11,8/12/2020,15:15:11,635,0,630,0
8/12/2020 15:16:11,8/12/2020,15:16:11,635,0,630,0
8/12/2020 15:17:11,8/12/2020,15:17:11,635,0,630,0
8/12/2020 15:18:11,8/12/2020,15:18:11,635,0,630,0
8/12/2020 15:19:11,8/12/2020,15:19:11,635,0,630,0
8/12/2020 15:20:11,8/12/2020,15:20:11,635,0,630,0
8/12/2020 15:21:11,8/12/2020,15:21:11,635,0,630,0
8/12/2020 15:22:11,8/12/2020,15:22:11,635,0,630,0
8/12/2020 15:23:11,8/12/2020,15:23:11,635,0,630,0
8/12/2020 15:24:11,8/12/2020,15:24:11,635,0,630,0
8/12/2020 15:25:11,8/12/2020,15:25:11,635,0,630,0
